RID,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
172.217.6.234-10.42.0.211-443-55425-6,Volkswagen Vento Petrol Highline AT,Kolkata,2010,33000,Petrol,Automatic,First,14.4 kmpl,1598 CC,103.6 bhp,5,2.85
10.42.0.211-10.42.0.1-59543-53-17,Honda City Corporate Edition,Mumbai,2012,51920,Petrol,Manual,First,16.8 kmpl,1497 CC,116.3 bhp,5,4.25
203.205.151.212-10.42.0.151-80-47360-6,Nissan Micra Diesel XV,Hyderabad,2012,54000,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5,4.25
172.217.3.99-10.42.0.151-443-59517-6,Maruti Alto K10 2010-2014 VXI,Hyderabad,2013,54000,Petrol,Manual,Second,20.92 kmpl,998 CC,67.1 bhp,5,2.75
10.42.0.151-23.208.147.183-48883-443-6,Honda WRV i-VTEC VX,Kochi,2018,37430,Petrol,Manual,First,17.5 kmpl,1199 CC,88.7 bhp,5,9.9
10.42.0.211-119.6.229.36-42096-80-6,Toyota Innova 2.5 V Diesel 7-seater,Mumbai,2007,262000,Diesel,Manual,Fourth & Above,12.8 kmpl,2494 CC,102 bhp,7,4
239.255.255.250-10.42.0.151-1900-58127-17,Renault Duster 110PS Diesel RxZ Pack,Bangalore,2013,62000,Diesel,Manual,First,19.01 kmpl,1461 CC,108.45 bhp,5,7.75
10.42.0.211-77.234.42.92-57427-443-6,Toyota Corolla Altis G,Delhi,2012,87615,Petrol,Manual,First,14.53 kmpl,1798 CC,138.1 bhp,5,6.75
175.100.207.232-10.42.0.211-80-46722-6,Mahindra Ssangyong Rexton RX7,Bangalore,2013,72000,Diesel,Automatic,Second,11.18 kmpl,2696 CC,184 bhp,7,12.5
10.42.0.211-115.239.210.141-58262-443-6,Audi A6 2.7 TDI,Kolkata,2010,35000,Diesel,Automatic,First,12.4 kmpl,2698 CC,179.5 bhp,5,11.5
10.42.0.211-77.234.44.79-52881-443-6,Volkswagen Vento 1.6 Highline,Coimbatore,2014,55431,Petrol,Manual,Second,16.09 kmpl,1598 CC,103.5 bhp,5,6.98
10.42.0.151-10.42.0.1-44769-53-17,Maruti Wagon R LXI BSIII,Jaipur,2009,83816,Petrol,Manual,Second,14.0 kmpl,1061 CC,64 bhp,5,1.85
206.108.0.131-10.42.0.211-123-51817-17,Maruti Vitara Brezza ZDi Plus,Kochi,2018,50075,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,8.63
172.217.10.142-10.42.0.151-443-48214-6,Mahindra KUV 100 mFALCON G80 K6 5str AW,Delhi,2017,52000,Petrol,Manual,First,18.15 kmpl,1198 CC,82 bhp,5,4.85
157.240.0.17-10.42.0.211-443-47115-6,Mercedes-Benz M-Class ML 350 CDI,Pune,2013,85000,Diesel,Automatic,First,11.74 kmpl,2987 CC,254.8 bhp,5,28
182.22.120.231-10.42.0.151-443-35655-6,Volkswagen Polo Diesel Trendline 1.2L,Chennai,2013,62000,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,5
182.22.24.124-10.42.0.211-443-41764-6,Maruti Alto LXi,Delhi,2008,90000,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,1.25
172.217.6.200-10.42.0.211-443-41694-6,Tata Nano LX SE,Kochi,2014,19698,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,1.53
10.42.0.211-69.147.82.61-41649-443-6,Mahindra KUV 100 mFALCON D75 K8 Dual Tone,Coimbatore,2017,22033,Diesel,Manual,First,25.32 kmpl,1198 CC,77 bhp,6,5.58
10.42.0.211-23.206.166.62-41407-80-6,Hyundai i20 Magna Optional 1.2,Kochi,2014,35487,Petrol,Manual,First,18.5 kmpl,1197 CC,82.9 bhp,5,4.74
10.42.0.211-106.11.30.199-36364-443-6,Hyundai Elantra 2.0 SX Option AT,Bangalore,2014,46374,Petrol,Automatic,First,14.62 kmpl,1999 CC,149.92 bhp,5,8.85
172.217.10.106-10.42.0.211-443-59705-6,Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28 kmpl,1798 CC,138.03 bhp,5,10.11
10.42.0.211-10.42.0.1-46221-53-17,Hyundai Elantra CRDi,Ahmedabad,2008,58005,Diesel,Manual,Second,14.9 kmpl,1991 CC,112.2 bhp,5,4.25
10.42.0.211-23.208.168.108-51833-443-6,Toyota Innova Crysta 2.7 GX MT,Bangalore,2012,70704,Petrol,Manual,First,11.25 kmpl,2694 CC,163.7 bhp,7,10.95
203.205.158.62-10.42.0.151-80-53994-6,Hyundai Xcent 1.1 CRDi S,Jaipur,2014,75000,Diesel,Manual,First,24.4 kmpl,1120 CC,71 bhp,5,3.85
180.149.153.234-10.42.0.211-80-53928-6,Mahindra Thar CRDe AC,Jaipur,2012,75800,Diesel,Manual,Second,16.55 kmpl,2498 CC,105 bhp,6,5.5
205.204.101.182-10.42.0.211-443-49824-6,Audi A4 2.0 TDI 177 Bhp Premium Plus,Kochi,2015,13648,Diesel,Automatic,First,17.11 kmpl,1968 CC,174.33 bhp,5,21.43
192.229.173.173-10.42.0.42-443-33619-6,Maruti Swift LDI,Delhi,2014,52000,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,4.25
10.42.0.151-64.71.142.96-58074-80-6,Maruti Swift Ldi BSIV,Kolkata,2014,53000,Diesel,Manual,First,17.8 kmpl,1248 CC,75 bhp,5,3.3
10.42.0.211-104.193.88.109-37740-80-6,Maruti Swift VDI,Delhi,2013,65650,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5,3.85
172.217.11.2-10.42.0.211-443-34919-6,Hyundai Grand i10 Sportz,Chennai,2015,54000,Petrol,Manual,Third,18.9 kmpl,1197 CC,82 bhp,5,3.6
174.35.73.108-10.42.0.42-443-43146-6,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2015,39000,Petrol,Manual,First,15.04 kmpl,1598 CC,103.2 bhp,5,3.99
10.42.0.211-23.205.20.233-43570-80-6,Renault KWID RXT,Kochi,2017,16542,Petrol,Manual,First,25.17 kmpl,799 CC,53.3 bhp,5,3.3
172.217.11.46-10.42.0.151-443-48949-6,Hyundai i10 Asta,Kolkata,2010,32000,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,2.07
10.42.0.211-77.234.42.92-51512-443-6,Nissan X-Trail SLX AT,Hyderabad,2010,121812,Diesel,Automatic,First,13.29 kmpl,1995 CC,147.6 bhp,5,7.75
10.42.0.151-52.84.142.16-47647-443-6,Maruti Zen Estilo VXI BSIII,Hyderabad,2010,39300,Petrol,Manual,First,18.2 kmpl,998 CC,67.1 bhp,5,2.25
172.217.10.237-10.42.0.42-443-59294-6,Toyota Innova Crysta 2.4 GX MT 8S,Mumbai,2017,22000,Diesel,Manual,First,13.68 kmpl,2393 CC,147.8 bhp,8,16.5
10.42.0.1-10.42.0.42-53-43407-17,Ford Figo Diesel Titanium,Bangalore,2010,72000,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2.75
10.42.0.151-54.192.38.7-43593-443-6,Mercedes-Benz New C-Class C 200 CGI Avantgarde,Delhi,2015,58000,Petrol,Automatic,First,11.74 kmpl,1796 CC,186 bhp,5,26.7
172.217.12.131-10.42.0.151-443-34781-6,Mercedes-Benz New C-Class 200 CDI Classic,Pune,2011,65000,Diesel,Manual,Second,15.8 kmpl,2148 CC,170 bhp,5,10
172.217.10.234-10.42.0.42-443-40909-6,Tata Indica V2 eLS,Chennai,2016,178000,Diesel,Manual,First,25.0 kmpl,1396 CC,69 bhp,5,2.5
174.36.210.41-10.42.0.211-5222-55916-6,Audi A4 2.0 TDI Multitronic,Jaipur,2012,65664,Diesel,Automatic,First,16.55 kmpl,1968 CC,140 bhp,5,13.5
202.77.129.150-10.42.0.211-443-48302-6,Honda City ZX CVT,Mumbai,2007,63000,Petrol,Automatic,Second,16.4 kmpl,1497 CC,78 bhp,5,1.85
151.101.1.140-10.42.0.151-443-56909-6,Mercedes-Benz C-Class Progressive C 220d,Coimbatore,2019,15369,Diesel,Automatic,First,0.0 kmpl,1950 CC,194 bhp,5,35.67
10.42.0.211-58.63.236.212-46649-443-6,Maruti Ertiga SHVS VDI,Pune,2016,63000,Diesel,Manual,First,24.52 kmpl,1248 CC,88.5 bhp,7,8.15
203.205.158.60-10.42.0.151-80-40687-6,Hyundai Creta 1.4 E Plus Diesel,Mumbai,2018,13000,Diesel,Manual,First,22.1 kmpl,1396 CC,88.7 bhp,5,10.5
10.42.0.211-95.213.11.133-33460-443-6,Porsche Cayenne 2009-2014 Turbo,Mumbai,2008,73000,Petrol,Automatic,First,8.5 kmpl,4806 CC,500 bhp,5,14.5
10.42.0.211-106.11.92.16-55173-443-6,Mahindra XUV500 W8 4WD,Mumbai,2015,55729,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,9.65
172.217.3.98-10.42.0.211-443-34371-6,Hyundai i10 Sportz 1.2 AT,Kochi,2012,45178,Petrol,Automatic,First,16.95 kmpl,1197 CC,78.9 bhp,5,3.48
10.42.0.211-106.39.162.36-55111-80-6,Nissan Terrano XV D Pre,Kochi,2015,56066,Diesel,Manual,First,19.64 kmpl,1461 CC,108.5 bhp,5,6.92
8.8.8.8-10.42.0.211-53-32368-17,Honda Brio VX AT,Coimbatore,2016,37300,Petrol,Automatic,Second,16.5 kmpl,1198 CC,86.8 bhp,5,6.46
10.42.0.211-10.42.0.1-23550-53-17,Audi A6 2.0 TDI Design Edition,Delhi,2014,56000,Diesel,Automatic,Second,18.53 kmpl,1968 CC,187.74 bhp,5,29.5
10.42.0.211-10.42.0.1-30749-53-17,Ford Fiesta 1.4 SXi TDCi,Jaipur,2008,111111,Diesel,Manual,First,17.8 kmpl,1399 CC,null bhp,5,2
169.47.42.102-10.42.0.211-443-57250-6,Toyota Innova 2.0 G1,Chennai,2006,230000,Petrol,Manual,Third,12.4 kmpl,1998 CC,132 bhp,8,4.5
202.77.129.150-10.42.0.211-80-34481-6,Toyota Innova 2.5 VX 7 STR BSIV,Hyderabad,2012,104000,Diesel,Manual,First,12.8 kmpl,2494 CC,102 bhp,7,11.75
10.42.0.211-10.42.0.1-7017-53-17,Hyundai Santro Xing XL,Hyderabad,2005,87591,Petrol,Manual,First,0.0 kmpl,1086 CC,null bhp,5,1.3
10.42.0.211-101.251.100.59-57972-9930-6,Maruti Swift VDI,Jaipur,2012,95100,Diesel,Manual,First,22.9 kmpl,1248 CC,74 bhp,5,3.75
172.217.9.227-10.42.0.211-80-59919-6,Tata Zest Revotron 1.2T XE,Pune,2017,70000,Petrol,Manual,First,17.57 kmpl,1193 CC,88.7 bhp,5,4.5
140.205.140.87-10.42.0.211-80-60932-6,Honda Amaze SX i-VTEC,Kochi,2016,54944,Petrol,Manual,First,18.0 kmpl,1198 CC,86.7 bhp,5,4.82
172.217.12.131-10.42.0.42-443-40747-6,Ford Figo Diesel ZXI,Hyderabad,2012,70337,Diesel,Manual,First,20.0 kmpl,1399 CC,68 bhp,5,2.8
10.42.0.151-31.13.71.52-55031-80-6,Maruti Ritz VDi,Jaipur,2013,99638,Diesel,Manual,First,23.2 kmpl,1248 CC,73.94 bhp,5,3.11
10.42.0.211-10.42.0.1-31723-53-17,Honda City i VTEC E,Delhi,2009,52000,Petrol,Manual,First,17.8 kmpl,1497 CC,117.3 bhp,5,3.25
172.217.3.99-10.42.0.211-443-51370-6,BMW 5 Series 2003-2012 525d,Delhi,2011,75000,Diesel,Automatic,Second,16.73 kmpl,1995 CC,218 bhp,5,13.9
172.217.10.68-10.42.0.151-443-36254-6,Hyundai i10 Sportz 1.2,Pune,2009,95980,Petrol,Manual,First,20.36 kmpl,1197 CC,78.9 bhp,5,2.25
10.42.0.211-95.154.220.116-34342-80-6,Hyundai Grand i10 Sportz,Bangalore,2016,16000,Petrol,Manual,First,18.9 kmpl,1197 CC,82 bhp,5,5.75
10.42.0.211-77.234.44.200-51293-80-6,Hyundai Santro Xing XO,Hyderabad,2007,73745,Petrol,Manual,First,17.0 kmpl,1086 CC,null bhp,5,2.1
172.217.10.3-10.42.0.42-443-40122-6,Honda Amaze SX i-VTEC,Mumbai,2016,18949,Petrol,Manual,First,17.8 kmpl,1198 CC,86.7 bhp,5,5
10.42.0.211-123.125.29.220-55261-80-6,Toyota Fortuner 4x2 Manual,Delhi,2014,107000,Diesel,Manual,First,13.0 kmpl,2982 CC,168.5 bhp,7,16.5
202.77.129.230-10.42.0.42-80-36706-6,Audi A6 2011-2015 35 TDI Premium,Coimbatore,2018,48367,Diesel,Automatic,First,17.68 kmpl,1968 CC,174.33 bhp,5,39.58
172.217.10.234-10.42.0.151-443-60520-6,Ford Ecosport 1.5 DV5 MT Titanium Optional,Delhi,2013,57000,Diesel,Manual,First,22.7 kmpl,1498 CC,89.84 bhp,5,5.5
10.42.0.1-10.42.0.42-53-44491-17,Mahindra XUV500 W8 2WD,Delhi,2014,58000,Diesel,Manual,First,15.1 kmpl,2179 CC,140 bhp,7,8.1
10.42.0.211-31.13.71.1-47432-443-6,Honda Amaze SX i-DTEC,Kolkata,2015,30000,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,3.5
10.42.0.42-61.135.185.139-58136-80-6,Volkswagen Polo Diesel Highline 1.2L,Kolkata,2013,34212,Diesel,Manual,First,22.07 kmpl,1199 CC,73.9 bhp,5,2.79
10.42.0.151-31.13.71.3-60663-443-6,Hyundai Verna Transform SX VGT CRDi,Ahmedabad,2010,70002,Diesel,Manual,First,16.2 kmpl,1493 CC,110 bhp,5,3.45
8.0.6.4-8.6.0.1-0-0-0,Maruti Wagon R VXI BS IV,Bangalore,2016,62000,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,4.45
172.217.3.98-10.42.0.211-443-51317-6,Volkswagen Polo Petrol Highline 1.6L,Delhi,2010,62001,Petrol,Manual,First,15.26 kmpl,1598 CC,103.5 bhp,5,2.65
205.204.101.182-10.42.0.42-443-36814-6,Hyundai i20 1.4 CRDi Sportz,Pune,2011,78958,Diesel,Manual,Second,23.0 kmpl,1396 CC,90 bhp,5,3.8
198.11.189.2-10.42.0.151-443-41805-6,Hyundai i20 Asta 1.2,Mumbai,2014,30180,Petrol,Manual,First,18.5 kmpl,1197 CC,82.85 bhp,5,4.65
203.205.158.66-10.42.0.211-443-53485-6,Datsun GO Plus T Petrol,Pune,2017,32851,Petrol,Manual,First,19.83 kmpl,1198 CC,67 bhp,7,3.95
10.42.0.211-23.208.168.108-49615-443-6,Audi A4 3.0 TDI Quattro Premium,Kolkata,2010,30000,Diesel,Automatic,First,14.94 kmpl,2967 CC,241.4 bhp,5,9.8
172.217.10.78-10.42.0.151-443-36652-6,Hyundai i20 2015-2017 Asta,Pune,2009,66000,Petrol,Manual,Second,17.0 kmpl,1197 CC,80 bhp,5,2.7
10.42.0.211-106.39.162.36-53896-80-6,Maruti Omni 5 Str STD,Coimbatore,2010,93850,Petrol,Manual,First,14.0 kmpl,796 CC,35 bhp,5,2.41
239.255.255.250-10.42.0.1-1900-56205-17,Toyota Etios Liva 1.2 G,Ahmedabad,2014,53000,Petrol,Manual,First,17.71 kmpl,1197 CC,78.9 bhp,5,3.9
10.42.0.211-66.198.24.224-59002-80-6,Jaguar XF 3.0 Litre S Premium Luxury,Hyderabad,2011,78000,Diesel,Automatic,Second,14.74 kmpl,2993 CC,270.9 bhp,5,24
206.126.112.142-10.42.0.151-443-51027-6,Mahindra XUV500 W8 2WD,Delhi,2012,65000,Diesel,Manual,Second,16.0 kmpl,2179 CC,140 bhp,7,5.75
180.149.138.197-10.42.0.211-80-48624-6,Hyundai Verna 1.6 SX CRDI (O) AT,Kolkata,2014,40000,Diesel,Automatic,First,22.32 kmpl,1582 CC,126.32 bhp,5,5.25
172.217.7.163-10.42.0.151-443-49709-6,Toyota Innova Crysta 2.8 ZX AT,Mumbai,2017,30000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,7,19.25
10.42.0.151-104.244.43.195-58057-443-6,Maruti Eeco 5 Seater AC,Coimbatore,2017,38053,Petrol,Manual,First,15.1 kmpl,1196 CC,73 bhp,5,3.91
10.42.0.211-10.42.0.1-48313-53-17,Tata Nano Twist XT,Bangalore,2014,25500,Petrol,Manual,First,25.4 kmpl,624 CC,37.5 bhp,4,2.15
10.42.0.211-77.234.44.40-46926-80-6,BMW 3 Series 320d Luxury Line,Mumbai,2015,56087,Diesel,Automatic,First,22.69 kmpl,1995 CC,190 bhp,5,20.75
10.42.0.42-52.84.29.55-46491-443-6,Honda Civic 2006-2010 1.8 V MT,Delhi,2010,71088,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,3.35
172.217.9.238-10.42.0.42-443-33455-6,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2014,55000,Diesel,Manual,First,12.99 kmpl,2494 CC,100.6 bhp,7,11.11
10.42.0.151-10.42.0.1-33832-53-17,Volvo V40 Cross Country D3,Bangalore,2014,32700,Diesel,Automatic,First,23.3 kmpl,1984 CC,150 bhp,5,20
10.42.0.211-10.42.0.1-25397-53-17,Nissan Micra XV CVT,Coimbatore,2016,39882,Petrol,Automatic,First,19.15 kmpl,1198 CC,75.94 bhp,5,6.55
10.42.0.42-123.125.115.164-53516-443-6,BMW 5 Series 2010-2013 525i,Mumbai,2009,128000,Petrol,Automatic,First,10.8 kmpl,2497 CC,215 bhp,5,7
10.42.0.211-106.11.176.1-47894-443-6,Maruti Vitara Brezza VDi,Mumbai,2016,55000,Diesel,Manual,First,24.3 kmpl,1248 CC,88.5 bhp,5,7.5
172.217.7.196-10.42.0.151-443-42712-6,Hyundai Santro Xing XL eRLX Euro III,Mumbai,2005,102000,Petrol,Manual,Second,17.0 kmpl,1086 CC,null bhp,5,0.85
172.217.10.74-10.42.0.42-443-47380-6,Mercedes-Benz B Class B200 CDI,Pune,2014,53753,Diesel,Automatic,Second,15.0 kmpl,2143 CC,107.3 bhp,5,16.75
172.217.10.35-10.42.0.211-443-46472-6,Hyundai Verna CRDi 1.6 SX Option,Kolkata,2018,10250,Diesel,Manual,First,22.0 kmpl,1582 CC,126.2 bhp,5,10.95
10.42.0.42-36.248.26.201-42248-80-6,Maruti Wagon R LXI BS IV,Pune,2011,43874,Petrol,Manual,First,18.9 kmpl,998 CC,67.1 bhp,5,2.45
8.0.6.4-8.6.0.1-0-0-0,Tata Nano XTA,Coimbatore,2017,32684,Petrol,Automatic,First,21.9 kmpl,624 CC,37.48 bhp,4,3.23
217.69.133.145-10.42.0.151-443-57440-6,Mahindra Scorpio VLX,Kolkata,2014,42000,Diesel,Manual,First,12.05 kmpl,2179 CC,120 bhp,8,7.75
172.217.3.99-10.42.0.151-443-51157-17,Mercedes-Benz New C-Class 200 K AT,Kolkata,2009,28352,Petrol,Automatic,First,11.7 kmpl,1796 CC,178 bhp,5,9.35
172.217.3.99-10.42.0.151-443-39445-6,Maruti Wagon R LXI CNG,Pune,2013,89900,CNG,Manual,First,26.6 km/kg,998 CC,58.16 bhp,5,3.25
173.222.142.156-10.42.0.211-80-36972-6,Honda CR-V 2.4 MT,Bangalore,2007,47700,Petrol,Manual,Second,10.8 kmpl,2354 CC,152 bhp,5,5.25
182.22.31.252-10.42.0.211-443-54160-6,Volkswagen Vento 1.5 TDI Comfortline AT,Pune,2015,55000,Diesel,Automatic,First,21.21 kmpl,1498 CC,103.2 bhp,5,7.25
10.42.0.1-10.42.0.42-53-5589-17,Maruti Ciaz VXi Plus,Kochi,2017,44285,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,7.47
172.217.10.226-10.42.0.211-443-40200-6,Mahindra XUV500 AT W10 FWD,Jaipur,2016,54000,Diesel,Automatic,First,16.0 kmpl,2179 CC,140 bhp,7,13.25
8.41.222.241-10.42.0.211-443-40412-6,Maruti Ritz VXI ABS,Coimbatore,2016,30232,Petrol,Manual,First,21.1 kmpl,1197 CC,85.80 bhp,5,5.81
209.10.120.26-10.42.0.211-80-36254-6,Maruti Alto K10 VXI,Hyderabad,2014,88500,Petrol,Manual,First,24.07 kmpl,998 CC,67.1 bhp,5,2.6
10.42.0.151-95.213.11.181-57463-80-6,Mercedes-Benz SLC 43 AMG,Kolkata,2017,13372,Petrol,Automatic,First,19.0 kmpl,2996 CC,362.07 bhp,2,54
10.42.0.211-14.17.42.57-43291-80-6,Hyundai Verna VTVT 1.6 AT SX Plus,Kochi,2019,12645,Petrol,Automatic,First,17.0 kmpl,1591 CC,121.3 bhp,5,11.5
10.42.0.151-52.84.136.83-53163-443-6,Maruti Alto LXi BSIII,Chennai,2010,94385,Petrol,Manual,Second,19.7 kmpl,796 CC,46.3 bhp,5,1.6
172.217.10.142-10.42.0.211-443-59473-6,BMW 1 Series 118d Base,Coimbatore,2015,31821,Diesel,Automatic,First,20.58 kmpl,1995 CC,143 bhp,5,17.22
172.217.10.225-10.42.0.151-443-58325-6,Honda Jazz 1.2 V CVT i VTEC,Mumbai,2015,12000,Petrol,Automatic,First,19.0 kmpl,1199 CC,88.7 bhp,5,6
10.42.0.211-23.23.129.231-45964-443-6,Honda Civic 2006-2010 1.8 V MT,Delhi,2012,88578,Petrol,Manual,First,13.5 kmpl,1799 CC,130 bhp,5,3.95
182.22.24.124-10.42.0.211-443-55195-6,Mercedes-Benz New C-Class C 220 CDI Avantgarde,Kochi,2014,44965,Diesel,Automatic,First,19.27 kmpl,2143 CC,170 bhp,5,17.95
10.42.0.211-10.42.0.1-59045-53-17,Honda Amaze SX i-DTEC,Kolkata,2014,45044,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5,3.7
172.217.6.227-10.42.0.151-443-58711-6,Maruti Swift VVT VXI,Kochi,2016,34204,Petrol,Manual,First,22.0 kmpl,1197 CC,81.80 bhp,5,5.43
10.42.0.211-119.146.74.33-57570-443-6,Hyundai Santro Xing XO eRLX Euro II,Kochi,2008,80759,Petrol,Manual,Third,17.0 kmpl,1086 CC,null bhp,5,1.67
10.42.0.211-31.13.71.1-43953-443-6,Toyota Fortuner 3.0 Diesel,Coimbatore,2012,91235,Diesel,Manual,First,11.5 kmpl,2982 CC,171 bhp,7,13.49
172.217.9.227-10.42.0.211-80-53475-6,Chevrolet Beat LT Option,Pune,2014,38800,Petrol,Manual,First,18.6 kmpl,1199 CC,76.8 bhp,5,2.85
10.42.0.211-10.42.0.1-3958-53-17,Skoda Rapid 1.5 TDI Elegance,Chennai,2013,83000,Diesel,Manual,First,21.14 kmpl,1498 CC,103.52 bhp,5,4.75
10.42.0.211-77.234.44.79-47870-443-6,Maruti Ciaz 1.4 Alpha,Kochi,2018,41283,Petrol,Manual,First,20.73 kmpl,1373 CC,91.1 bhp,5,9.9
203.205.158.61-10.42.0.42-80-53995-6,Audi RS5 Coupe,Mumbai,2013,23000,Petrol,Automatic,First,11.05 kmpl,2894 CC,444 bhp,4,37
10.42.0.211-54.243.161.28-60725-443-6,BMW 3 Series Luxury Line,Mumbai,2014,48000,Diesel,Automatic,First,21.76 kmpl,1995 CC,190 bhp,5,26.5
